WRKX-170 sections (2026-03-10T23:22:33):
Term;Location;Section #;Course;Start Date - End Date;Meeting Days/Time/Building/Room;Units;Instructor(s);Comments;Status;Seats Available
2026FA;SRC;9213;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Mithaiwala, Mark;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7377;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Heinemann, Robin;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7373;WRKX-170 - Work Experience Education;8/24/2026 - 10/16/2026;1.00/4.00;Greenberg, Marisa;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7372;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Greenberg, Marisa;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7369;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Staff, DVC;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arrNote: Section is a 1-4 variable unit course. To enroll in WRKX,you must: 1) complete a Work Experience Employment Form(www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class.Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7368;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Berggren, Robert;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7337;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Hurtado, Lance;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7331;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Brooks, Erin;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7329;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Lodato, Louise;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7326;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Smith, Rhonda;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu Note: This section is part of the PACE program. Students must be PACE students to enroll. For program information, go to www.dvc.edu/pace.;Open;20
2026FA;DVC;7245;WRKX-170 - Work Experience Education;8/24/2026 - 12/11/2026;1.00/4.00;Christiana, Dominick;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;SRC;9214;WRKX-170 - Work Experience Education;9/08/2026 - 12/11/2026;1.00/4.00;Staff, DVC;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7376;WRKX-170 - Work Experience Education;9/08/2026 - 12/11/2026;1.00/4.00;Brooks, Erin;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7375;WRKX-170 - Work Experience Education;9/08/2026 - 12/11/2026;1.00/4.00;Christiana, Dominick;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7370;WRKX-170 - Work Experience Education;9/08/2026 - 12/11/2026;1.00/4.00;Berggren, Robert;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7340;WRKX-170 - Work Experience Education;9/08/2026 - 12/11/2026;1.00/4.00;Lodato, Louise;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7334;WRKX-170 - Work Experience Education;9/08/2026 - 12/11/2026;1.00/4.00;Smith, Rhonda;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
2026FA;DVC;7196;WRKX-170 - Work Experience Education;9/08/2026 - 12/11/2026;1.00/4.00;Jensen, Carol;Note: In order to enroll in a WRKX-170, students must be employed or in a paid or unpaid internship, register for the course, complete an online Employment Form, and participate in an orientation.;Hours by arr Note: Section is a 1-4 variable unit course. To enroll in WRKX, you must: 1) complete a Work Experience Employment Form (www.dvc.edu/wrkx), 2) register for the course and 3) Complete a WRKX Orientation in CANVAS on the first day of class. Note: For questions, visit www.dvc.edu/wrkx or email wrkx@dvc.edu;Open;20
